document_name,page_number,country,iso3,frequency
OCR-D34173720.json,5,Pakistan,PAK,1
OCR-D34173720.json,8,Afghanistan,AFG,1
OCR-D34173720.json,8,Bangladesh,BGD,1
OCR-D34173720.json,8,India,IND,1
OCR-D34173720.json,8,Sri Lanka,LKA,1
OCR-D34173720.json,8,Nepal,NPL,1
OCR-D34173720.json,8,Pakistan,PAK,1
OCR-D34173720.json,25,India,IND,1
OCR-D34173720.json,29,Mexico,MEX,1
OCR-D34173720.json,30,Sri Lanka,LKA,1
OCR-D34173720.json,30,Mexico,MEX,1
OCR-D34173720.json,30,Russian Federation,RUS,1
OCR-D34173720.json,31,Ecuador,ECU,1
OCR-D34173720.json,31,Mexico,MEX,1
OCR-D34173720.json,32,Brazil,BRA,1
OCR-D34173720.json,33,Afghanistan,AFG,1
OCR-D34173720.json,33,Bangladesh,BGD,1
OCR-D34173720.json,37,Afghanistan,AFG,1
OCR-D34173720.json,37,Bangladesh,BGD,1
OCR-D34173720.json,37,India,IND,1
OCR-D34173720.json,37,Sri Lanka,LKA,1
OCR-D34173720.json,37,Nepal,NPL,1
OCR-D34173720.json,37,Pakistan,PAK,1
OCR-D3401982.json,1,Argentina,ARG,1
OCR-D3401982.json,1,Brazil,BRA,1
OCR-D3401982.json,1,Colombia,COL,1
OCR-D3401982.json,1,Ecuador,ECU,1
OCR-D3401982.json,1,Peru,PER,1
OCR-D3401982.json,13,Brazil,BRA,1
OCR-D3401982.json,14,Brazil,BRA,1
OCR-D3401982.json,17,Brazil,BRA,1
OCR-D3401982.json,17,Ecuador,ECU,1
OCR-D3401982.json,21,Argentina,ARG,1
OCR-D3401982.json,21,Brazil,BRA,1
OCR-D3401982.json,21,Colombia,COL,1
OCR-D3401982.json,21,Ecuador,ECU,1
OCR-D3401982.json,21,Peru,PER,1
OCR-D3401982.json,22,Brazil,BRA,1
OCR-D3401982.json,22,Colombia,COL,1
OCR-D3401982.json,22,Ecuador,ECU,1
OCR-D3401982.json,25,Brazil,BRA,1
OCR-D3401982.json,25,Colombia,COL,1
OCR-D3401982.json,26,Argentina,ARG,1
OCR-D3401982.json,26,Brazil,BRA,1
OCR-D3401982.json,26,Colombia,COL,1
OCR-D3401982.json,36,Brazil,BRA,1
OCR-D3401982.json,39,Argentina,ARG,1
OCR-D3401982.json,39,Brazil,BRA,1
OCR-D3401982.json,39,Colombia,COL,1
OCR-D3401982.json,39,Ecuador,ECU,1
OCR-D3401982.json,39,Peru,PER,1
OCR-D19874670.json,6,Mexico,MEX,1
OCR-D19874670.json,7,Mexico,MEX,1
OCR-D19874670.json,7,South Africa,ZAF,1
OCR-D19874670.json,8,India,IND,1
OCR-D19874670.json,8,Kenya,KEN,1
OCR-D19874670.json,10,India,IND,1
